Razón Social,RUC,Teléfono,Email,Dirección
TECNOLOGIA AVANZADA S.A.C.,20100123456,074234567,ventas@tecavanzada.com,AV. GRAU 123 CHICLAYO LAMBAYEQUE
DISTRIBUIDORA NORTE E.I.R.L.,20200234567,01234567,contacto@distnorte.com,JR. UNION 456 LIMA LIMA
IMPORTACIONES DEL PACIFICO S.R.L.,20300345678,044345678,info@imppacific.com,CAL. LOS PINOS 789 TRUJILLO LA LIBERTAD
COMERCIAL ANDINA S.A.,20400456789,054456789,comercial@andina.com,AV. REPUBLICA 321 AREQUIPA AREQUIPA
SOLUCIONES DIGITALES PERU S.A.C.,20500567890,073567890,soporte@soldigital.pe,JR. TACNA 654 PIURA PIURA
GRUPO EMPRESARIAL CUSCO S.R.L.,20600678901,084678901,gerencia@gecusco.com,AV. BOLOGNESI 987 CUSCO CUSCO
FERRETERIA INDUSTRIAL ICA E.I.R.L.,20700789012,056789012,ventas@ferrica.com,CAL. REAL 147 ICA ICA
AGRO EXPORTACIONES HUANCAYO S.A.C.,20800890123,064890123,export@agrohuancayo.com,AV. EJERCITO 258 HUANCAYO JUNIN
LOGISTICA AMAZONICA S.R.L.,20900901234,061901234,logistica@amazonica.pe,JR. AMAZONAS 369 PUCALLPA UCAYALI
CONSTRUCTORA TACNA S.A.,20101012345,052012345,obras@constacna.com,AV. INDEPENDENCIA 741 TACNA TACNA
MINERA TUMBES GOLD E.I.R.L.,20201123456,072123456,mineria@tumbesgold.com,CAL. PROGRESO 852 TUMBES TUMBES
PESQUERA DEL SUR S.A.C.,20301234567,053234567,pesca@delsur.com,AV. GRAU 963 MOQUEGUA MOQUEGUA
TEXTIL PUNO S.R.L.,20401345678,051345678,textil@punoperu.com,JR. LIBERTAD 174 PUNO PUNO
CAFETALERA CAJAMARCA S.A.C.,20501456789,076456789,cafe@cajamarca.com,AV. PERU 285 CAJAMARCA CAJAMARCA
ARTESANIAS AYACUCHO E.I.R.L.,20601567890,066567890,arte@ayacucho.pe,CAL. UNION 396 AYACUCHO AYACUCHO
TURISMO HUARAZ S.A.,20701678901,043678901,tours@huaraz.com,AV. BOLOGNESI 507 HUARAZ ANCASH
PESQUERA CHIMBOTE S.A.C.,20801789012,043789012,pesca@chimbote.pe,JR. GRAU 618 CHIMBOTE ANCASH
TRANSPORTE JULIACA E.I.R.L.,20901890123,051890123,trans@juliaca.com,AV. EJERCITO 729 JULIACA PUNO
AGRICOLA ABANCAY S.R.L.,20102901234,083901234,agro@abancay.pe,CAL. REAL 830 ABANCAY APURIMAC
FARMACEUTICA HUANUCO S.A.C.,20202012345,062012345,farma@huanuco.com,AV. REPUBLICA 941 HUANUCO HUANUCO
MADERERA TINGO MARIA E.I.R.L.,20302123456,062123456,madera@tingomaria.pe,JR. TACNA 052 TINGO MARIA HUANUCO
ECOTURISMO MOYOBAMBA S.A.,20402234567,042234567,eco@moyobamba.com,AV. GRAU 163 MOYOBAMBA SAN MARTIN
