Razón Social,RUC,Teléfono,Email,Dirección,Contacto
DISTRIBUIDORA NORTE S.A.C.,20100111001,074234501,ventas@distnorte.com,AV. GRAU 101 CHICLAYO,CARLOS RAMIREZ
IMPORTACIONES DEL PACIFICO E.I.R.L.,20100222002,01234502,info@imppacific.com,JR. UNION 202 LIMA,MARIA TORRES
COMERCIAL ANDINA S.R.L.,20100333003,054345603,comercial@andina.pe,CAL. LOS PINOS 303 AREQUIPA,JOSE GARCIA
TECNOLOGIA AVANZADA S.A.C.,20100444004,073456704,tech@avanzada.com,AV. REPUBLICA 404 PIURA,ANA LOPEZ
GRUPO EMPRESARIAL NORTE S.A.,20100555005,044567805,gerencia@genorte.com,JR. TACNA 505 TRUJILLO,PEDRO CHAVEZ
FERRETERIA INDUSTRIAL PERU E.I.R.L.,20100666006,056678906,ventas@ferriperu.com,CAL. REAL 606 ICA,LUCIA DIAZ
AGRO EXPORTACIONES S.A.C.,20100777007,064789007,export@agroexp.com,AV. EJERCITO 707 HUANCAYO,MIGUEL SANCHEZ
LOGISTICA AMAZONICA S.R.L.,20100888008,061890108,logistica@amazonica.pe,JR. AMAZONAS 808 PUCALLPA,ROSA GUTIERREZ
CONSTRUCTORA NACIONAL S.A.,20100999009,052901209,obras@consnac.com,AV. INDEPENDENCIA 909 TACNA,JUAN FLORES
MINERA DEL SUR E.I.R.L.,20101010010,072012310,mineria@delsur.com,CAL. PROGRESO 1010 MOQUEGUA,CARMEN REYES
PESQUERA NORTE S.A.C.,20101111011,053123411,pesca@norte.com,AV. GRAU 1111 PIURA,LUIS VEGA
TEXTIL PERUANO S.R.L.,20101222012,051234512,textil@peruano.pe,JR. LIBERTAD 1212 PUNO,PATRICIA RAMOS
CAFETALERA ANDINA S.A.C.,20101333013,076345613,cafe@andina.com,AV. PERU 1313 CAJAMARCA,ROBERTO MENDOZA
ARTESANIAS DEL PERU E.I.R.L.,20101444014,066456714,arte@delperu.pe,CAL. UNION 1414 AYACUCHO,SILVIA CASTRO
TURISMO NACIONAL S.A.,20101555015,043567815,tours@nacional.com,AV. BOLOGNESI 1515 ANCASH,FERNANDO ORTIZ
FARMACEUTICA PERUANA S.A.C.,20101666016,062678916,farma@peruana.com,JR. GRAU 1616 HUANUCO,DIANA PEREZ
MADERERA AMAZONICA E.I.R.L.,20101777017,062789017,madera@amazonica.pe,AV. EJERCITO 1717 UCAYALI,OSCAR ALVA
ECOTURISMO PERU S.R.L.,20101888018,042890118,eco@peru.com,CAL. REAL 1818 SAN MARTIN,VERONICA HUAMAN
AGROINDUSTRIAL NORTE S.A.C.,20101999019,042901219,agro@norte.pe,AV. GRAU 1919 SAN MARTIN,EDGAR QUISPE
ACUICULTURA PERUANA S.A.,20102010020,065012320,acui@peruana.com,JR. LIBERTAD 2020 LORETO,NELLY CCOPA
PETROQUIMICA NACIONAL E.I.R.L.,20102111021,073123421,petro@nacional.pe,CAL. UNION 2121 PIURA,ALEX TAPIA
CERAMICA ARTESANAL S.A.C.,20102222022,073234522,ceramica@artesanal.com,AV. INDEPENDENCIA 2222 PIURA,JESSICA MORAN
AZUCARERA DEL NORTE S.R.L.,20102333023,074345623,azucar@norte.pe,JR. TACNA 2323 LAMBAYEQUE,CHRISTIAN SALAZAR
PESQUERA CHICLAYO S.A.,20102444024,074456724,pesca@chiclayo.com,AV. GRAU 2424 LAMBAYEQUE,MILAGROS VASQUEZ
INMOBILIARIA PERU E.I.R.L.,20102555025,074567825,inmobil@peru.pe,CAL. PROGRESO 2525 LAMBAYEQUE,HENRY PALACIOS
CONSTRUCTORA NORTE S.A.C.,20102666026,044678926,obras@norte.com,JR. UNION 2626 LA LIBERTAD,ELIZABETH CANO
AGRICOLA DEL NORTE S.R.L.,20102777027,044789027,agro.norte27@gmail.com,AV. REPUBLICA 2727 LA LIBERTAD,RONALD MEZA
PESQUERA PACIFICO S.A.,20102888028,044890128,pesca@pacifico.com,CAL. REAL 2828 LA LIBERTAD,KARINA BRAVO
CEMENTERA PERUANA E.I.R.L.,20102999029,044901229,cemento@peruana.pe,JR. LIBERTAD 2929 LA LIBERTAD,MARCO LEON
DISTRIBUIDORA SUR S.A.C.,20103010030,054012330,dist@sur.com,AV. PERU 3030 AREQUIPA,YOLANDA RIOS
IMPORTADORA LIMA S.R.L.,20103111031,01123431,import@lima.pe,CAL. UNION 3131 LIMA,JHON SOLIS
COMERCIAL CUSCO S.A.,20103222032,084234532,comercial@cusco.com,JR. GRAU 3232 CUSCO,MARISOL ARCE
TECNOLOGIA LIMA E.I.R.L.,20103333033,01345633,tech@lima.pe,AV. EJERCITO 3333 LIMA,CESAR INFANTE
GRUPO NORTE S.A.C.,20103444034,074456734,grupo@norte.com,CAL. PROGRESO 3434 LAMBAYEQUE,GLADYS CORONEL
FERRETERIA LIMA S.R.L.,20103555035,01567835,ferret@lima.pe,JR. TACNA 3535 LIMA,WILMER CUBAS
AGRO NORTE E.I.R.L.,20103666036,074678936,agro@norte.pe,AV. GRAU 3636 LAMBAYEQUE,ROSA FARRO
